视频号,回肠末端,盲肠,升结肠,结肠肝曲,横结肠,结肠脾曲,降结肠,乙状结肠,直肠,肛管,备注,总帧数,视频时长_lb,视频时长(秒),设备型号
17,0:00-0:12,0:13-0:15/ 0:18-0:25/ 0:28-0:28/ 0:31-0:31,0:16-0:17/ 0:26-0:27/ 0:29-0:30/ 0:32-0:58,0:59-1:10,1:11-1:47,1:48-2:01,2:02-2:30,2:31-3:03,3:04-3:23,3:24-3:42,0,13359,222,222.63,CF-H290I
18,0:00-0:14,0:15-0:40,0:41-1:04,1:05-1:10,1:11-1:34,1:35-1:39,1:40-1:58,1:59-2:36,2:37-3:02,3:03-3:10,1,11418,190,190.28,CF-HQ290I
19,0:00-0:16,0:17-0:46,0:47-1:19,1:20-1:30,1:31-2:25,2:26-2:31,2:32-3:14,3:15-3:41,3:42-4:11,4:12-4:20,1,15622,260,260.35,CF-HQ290I
20,0:00-0:03,0:04-0:34,0:35-1:08,1:09-1:15,1:16-1:43,1:44-1:49,1:50-2:43,2:44-3:09,3:10-3:25,3:26-3:41,1,13283,221,221.37,CF-H290I
21,0:00-0:10,0:10-0:25,0:26-0:56,0:57-1:04,1:05-1:39,1:40-1:43,1:44-2:03,2:04-2:20,2:21-2:55,2:56-3:01,1,10879,181,181.3,CF-H290I
23,0:00-0:13,0:17-0:33,0:14-0:16/ 0:34-0:51,0:52-0:59,1:00-1:26,1:27-1:32,1:33-2:54,2:55-3:15,3:16-3:32,3:33-3:48,0,13704,228,228.38,CF-HQ290I
25,0:00-0:04,0:05-0:17,0:18-0:41,0:42-0:56,0:57-2:51,2:52-3:03,3:04-3:16,3:17-3:44,3:45-4:02/ 4:06-4:16,4:03-4:05/ 4:17-4:21,0,15667,261,261.1,CF-H290I
26,0:00-0:05,0:06-0:21,0:22-0:33,0:34-0:40,0:41-1:23,1:24-1:37,1:38-1:50,1:51-2:31,2:32-2:53,2:54-3:09,1,11378,189,189.62,CF-HQ290I
27,0:00-0:12,0:18-0:49,0:13-0:17/ 0:50-1:20,1:21-1:36,1:37-3:28,3:29-3:34,3:35-4:14,4:15-4:56,4:57-5:25/ 5:26-5:44,5:26-5:27/ 5:45-5:59,0,21556,359,359.25,CF-HQ290I
28,0:00-0:22,0:23-2:28,2:29-4:54,4:55-5:02,5:03-5:32,5:33-9:34,9:35-14:22,14:23-22:08,22:09-23:54,23:55-24:02,1,86531,1442,1442.17,CF-H290I
29,0:00-0:14,0:15-0:30,0:31-3:10,3:11-6:58,6:59-9:08,9:09-9:38,9:39-10:50,10:51-11:34,11:35-11:58,11:59-12:12,1,43941,732,732.33,CF-H290I
34,0:00-0:10,0:11-0:40,0:41-3:13,3:14-3:48,3:49-9:02,9:03-9:14,9:15-11:25,11:26-12:58,12:59-14:41,14:42-14:51,1,53488,891,891.45,CF-H290I
35,0:00-0:15/ 0:21-0:55,0:18-0:20/ 0:56-1:12,0:16-0:17/ 1:13-1:40,1:41-1:56,1:57-2:29,2:30-2:38,2:39-3:44,3:45-4:29,4:30-5:20,5:21-5:25,0,19550,325,325.82,CF-HQ290I
36,0:00-0:13,0:14-1:04,1:05-1:29,1:30-2:02,2:03-2:22,2:23-2:36,2:37-3:46,3:47-5:18,5:19-5:39,5:40-5:49,1,20966,349,349.42,CF-H290I
37,0:00-0:12,0:13-0:29,0:30-1:08,1:09-1:34,1:35-3:57,3:58-4:07,4:08-4:44,4:45-6:04,6:05-6:50,6:51-6:56,1,24980,416,416.32,CF-H290I
38,0:00-0:03,0:04-2:04,2:05-2:24,2:25-2:33,2:34-3:27,3:28-3:39,3:40-4:02,4:03-5:48,5:49-6:10,6:11-6:18,1,22717,378,378.6,CF-HQ290I
39,0:00-0:20,0:21-0:38,0:39-1:49,1:50-1:56,1:57-3:05,3:06-3:08,3:09-3:55,3:56-4:15,4:16-4:38,4:39-4:43,1,17002,283,283.35,CF-HQ290I
40,0:00-0:11,0:12-0:45,0:46-1:19,1:20-1:44,1:45-3:36,3:37-3:44,3:45-4:13,4:14-5:19,5:20-6:11,6:12-6:20,1,22830,380,380.48,CF-H290I
41,0:00-0:04,0:05-1:10,1:11-1:49,1:50-2:11,2:12-3:14,3:15-3:20,3:21-4:10,4:11-5:05,5:06-5:50,5:51-6:02,1,21772,362,362.85,CF-HQ290I
42,0:00-0:14,0:15-0:31,0:32-1:30,1:31-1:37,1:38-2:09,2:10-2:14,2:15-4:40,4:41-5:55,5:56-6:35,6:36-6:48,1,24514,408,408.55,CF-HQ290I
43,0:00-0:14,0:15-0:26,0:27-2:16,2:17-2:32,2:33-3:29,3:30-3:34,3:35-3:45,3:46-4:43,4:44-5:10,5:11-5:31,1,19895,331,331.57,CF-HQ290I
45,0:00-0:04,0:05-0:22,0:23-1:24,1:25-1:37,1:38-3:16,3:17-3:27,3:28-3:44,3:45-4:58,4:59-5:18,5:19-5:43,1,20639,343,343.97,CF-HQ290I
46,0:00-0:11,0:12-0:31,0:32-1:19,1:20-1:40,1:41-2:42,2:43-3:05,3:06-4:10,4:11-4:50,4:51-6:13,6:14-6:34,1,23675,394,394.57,CF-Q260AI
48,0:00-0:05,0:06-0:20,0:21-1:25,1:26-2:42,2:43-3:22,3:23-3:47,3:48-4:49,4:50-5:27,5:28-6:14,6:15-6:31,1,23466,391,391.08,CF-H290I
49,0:00-0:02,0:03-0:30,0:31-0:42,0:43-1:19,1:20-5:55,5:56-6:04,6:05-7:16,7:17-8:33,8:34-9:04,9:05-9:19,1,33545,559,559.07,CF-Q260AI
50,0:00-0:10,0:11-0:38,0:39-1:15,1:16-1:26,1:27-2:07,2:08-2:38,2:39-4:14,4:15-5:09,5:10-6:21,6:22-6:39,1,23947,399,399.1,CF-H290I
51,0:00-0:11,0:12-0:24,0:25-0:59,1:00-1:28,1:29-2:53,2:54-3:07,3:08-3:53,3:54-4:27,4:28-4:47,4:48-5:03,1,18215,303,303.57,CF-HQ290I
53,0:00-0:12,0:13-0:32,0:33-1:39,1:40-1:55,1:56-5:02,5:03-5:19,5:20-8:51,8:52-12:20,12:21-14:14,14:15-14:16,1,51386,856,856.42,CF-Q260AI
54,0:00-0:05,0:06-1:38,1:39-2:13,2:14-2:54,2:55-3:55,3:56-4:15,4:16-5:08,5:09-6:02,6:03-6:43,6:44-6:46,1,24374,406,406.22,CF-Q260AI
55,0:00-0:21,0:22-1:46,1:47-2:23,2:24-2:52,2:53-4:25,4:26-4:40,4:41-8:45,8:46-11:00,11:01-11:59,12:00-12:10,1,43867,730,731.1,CF-H290I
56,0:00-0:13,0:14-0:36,0:37-1:58,1:59-2:13,2:14-2:50,2:51-3:04,3:05-3:31,3:32-3:50,3:51-4:10,4:11-4:24,1,15863,264,264.37,CF-H290I
57,0:00-0:07,0:08-0:38,0:39-1:08,1:09-1:17,1:18-2:05,2:06-2:13,2:14-3:01,3:02-3:56,3:57-4:15,4:16-4:25,1,15929,265,265.47,CF-H290I
58,0:00-0:12,0:13-0:58,0:59-1:26,1:27-2:18,2:19-2:51,2:52-3:00,3:01-3:18,3:19-5:40,5:41-6:47,6:48-6:58,1,25117,418,418.6,CF-H290I
59,0:00-0:04,0:05-0:30,0:31-0:53,0:54-0:58,0:59-3:43,3:44-3:50,3:51-4:27,4:28-5:25,5:26-6:57,6:58-7:23,1,26624,443,443.72,CF-H290I
60,0:00-0:08,0:09-0:26,0:27-0:57,0:58-1:03,1:04-1:57,1:58-3:01,3:02-3:40,3:41-6:07,6:08-6:54,6:55-7:00,1,25251,420,420.83,CF-H290I
61,0:00-0:06,0:07-0:23,0:24-1:21,1:22-1:36,1:37-2:20,2:21-2:26,2:27-3:07,3:08-4:46,4:47-5:39,5:40-5:47,1,20859,347,347.63,CF-H290I
62,0:00-0:08,0:09-0:27,0:28-0:50,0:51-0:59,1:00-1:25,1:26-1:42,1:43-2:44,2:45-10:30,10:31-21:03,21:04-21:11,1,76266,1271,1271.08,CF-H290I
63,0:00-0:22,0:23-0:53,0:54-1:28,1:29-2:00,2:01-6:36,6:37-7:00,7:01-8:33,8:34-11:15,11:16-12:07,12:08-12:17,1,44256,737,737.58,CF-H290I
64,0:00-0:09,0:10-0:34,0:35-1:22,1:23-1:45,1:46-2:14,2:15-2:30,2:31-3:38,3:39-4:34,4:35-5:02,5:03-5:11,1,18717,311,311.93,CF-H290I
65,0:00-0:02,0:03-0:13,0:14-0:44,0:45-1:14,1:15-3:39,3:40-3:46,3:47-5:25,5:26-6:32,6:33-10:55,10:56-11:11,1,40300,671,671.65,CF-H290I
66,0:00-0:13,0:14-0:36,0:37-1:16,1:17-1:50,1:51-4:14,4:15-4:34,4:35-5:16,5:17-6:59,7:00-7:24,7:25-7:50,1,28624,470,477.05,CF-H290I
67,0:00-0:14,0:15-0:36,0:37-1:13,1:14-1:26,1:27-3:54,3:55-4:00,4:01-5:01,5:02-5:22,5:23-5:43,5:44-6:10,1,22231,370,370.5,CF-H290I
68,0:00-0:06,0:07-0:30,0:31-1:50,1:51-2:00,2:01-2:48,2:49-3:08,3:09-4:26,4:27-6:08,6:09-6:43,6:44-6:57,1,25024,417,417.05,CF-H290I
69,0:00-0:19,0:20-0:31,0:32-1:14,1:15-1:43,1:44-2:39,2:40-2:47,2:48-5:28,5:29-6:00,6:01-6:23,6:24-6:30,1,23431,390,390.5,CF-H290I
70,0:00-0:13,0:14-0:25,0:26-1:24,1:25-1:33,1:34-2:20,2:21-2:28,2:29-2:58,2:59-4:00,4:01-4:30,4:31-4:37,1,16661,277,277.67,CF-H290I
71,0:00-0:22,0:23-0:40,0:41-1:16,1:17-1:39,1:40-2:34,2:35-2:51,2:52-8:23,8:24-9:02,9:03-9:13,9:14-9:34,1,34452,574,574.18,CF-H290I
72,0:00-0:18,0:19-0:32,0:33-1:10,1:11-1:25,1:26-2:24,2:25-2:55,2:56-3:52,3:53-5:00,5:01-5:43,5:44-5:55,1,251760,355,4195.98,CF-H290I
73,0:00-0:07,0:49-0:55,0:08-0:48/ 0:56-1:42,1:43-2:19,2:20-2:41,2:42-3:00,3:01-3:45,3:46-4:45,4:46-5:19,5:20-5:27,0,19624,327,327.05,CF-H290I
74,0:00-0:03,0:04-0:20,0:21-0:38,0:39-1:20,1:21-15:31,15:32-16:16,16:17-17:18,17:19-18:20,18:21-19:04,19:05-19:06,1,68805,1146,1146.73,CF-H290I
76,0:00-0:04,0:05-0:10,0:11-0:45,0:46-1:00,1:01-1:52,1:53-2:02,2:03-2:27,2:28-3:21,3:22-5:17,5:18-5:33,1,20029,333,333.8,CF-H290I
77,0:00-0:08,0:09-0:18,0:19-1:01,1:02-1:30,1:31-3:01,3:02-3:05,3:06-3:22,3:23-3:44,3:45-4:04,4:05-4:09,1,14953,249,249.2,CF-H290I
78,0:00-0:23,0:24-0:45,0:46-1:29,1:30-1:56,1:57-2:50,2:51-3:50,3:51-4:16,4:17-5:04,5:05-5:37,5:38-5:39,1,20394,339,339.88,CF-H290I
79,0:00-0:04,0:05-0:20,0:21-0:26,0:27-1:12,1:13-2:02,2:03-3:17,3:18-3:29,3:30-4:21,4:22-4:44,4:45-4:51,1,17462,291,291.02,CF-H290I
80,0:00-0:06,0:39-0:55,0:07-0:38/ 0:56-3:28,3:29-4:18,4:19-4:41,4:42-5:10,5:11-5:51,5:52-6:52,6:53-7:10,7:11-7:18,0,26333,438,438.87,CF-H290I
81,0:00-0:19,0:20-0:40,0:41-0:54,0:55-1:05,1:06-1:21,1:22-1:41,1:42-3:09,3:10-4:33,4:34-4:56,4:57-5:03,1,18193,303,303.2,CF-H290I
82,0:00-0:04,0:05-0:22,0:23-1:16,1:17-4:14,4:15-4:40,4:41-4:49,4:50-5:27,5:28-7:47,7:48-8:29,8:30-8:36,1,31577,516,526.27,CF-H290I
83,0:00-0:08,0:09-0:18,0:19-0:44,0:45-1:10,1:11-1:23,1:24-1:32,1:33-1:56,1:57-2:36,2:37-2:49,2:50-3:00,1,10815,180,180.23,CF-H290I
84,0:00-0:21,0:22-0:37,0:38-0:49,0:50-1:11,1:12-2:49,2:50-2:59,3:00-3:05,3:06-3:26,3:27-3:39,3:40-3:48,1,13732,228,228.85,CF-Q260AI
85,0:00-0:09,0:10-0:26,0:27-0:48,0:49-0:58,0:59-1:14,1:15-1:18,1:19-1:33,1:34-2:17,2:18-2:27,2:28-2:33,1,9183,153,153.03,CF-H290I
86,0:00-0:15,0:33-0:49,0:16-0:32/ 0:50-1:29,1:30-1:44,1:45-2:11,2:12-2:24,2:25-3:30,3:31-5:02,5:03-5:23,5:24-5:29,0,19773,329,329.53,CF-H290I
87,0:00-0:15,0:16-0:29,0:30-1:45,1:46-1:52,1:53-2:25,2:26-2:31,2:32-4:26,4:27-4:58,4:59-5:11,5:12-5:24,1,19485,324,324.73,CF-H290I
88,0:00-0:26,0:27-0:39,0:40-1:31,1:32-1:43,1:44-2:12,2:13-2:23,2:24-3:42,3:43-8:21,8:22-8:34,8:35-8:42,1,31328,522,522.12,CF-H290I
89,0:00-0:05,0:06-0:19,0:20-0:48,0:49-1:02,1:03-1:30,1:31-1:44,1:45-2:19,2:20-2:50,2:51-3:11,3:12-3:19,1,11948,199,199.12,CF-Q260AI
90,0:00-0:02,0:03-0:14,0:15-0:43,0:44-0:57,0:58-2:05,2:06-2:15,2:16-3:09,3:10-3:50,3:51-4:11,4:12-4:23,1,15813,263,263.53,CF-H290I
91,0:00-0:07,0:08-0:22,0:23-1:34,1:35-1:52,1:53-7:19,7:20-7:46,7:47-8:08,8:09-9:09,9:10-9:28,9:29-9:48,1,35122,588,588.87,CF-H290I
92,0:00-0:18,0:19-0:34,0:35-1:05,1:06-1:20,1:21-2:18,2:19-2:27,2:28-2:43,2:44-3:07,3:08-3:39,3:40-3:48,1,13740,228,228.98,CF-H290I
93,0:00-0:14,0:15-0:30,0:31-1:09,1:10-1:20,1:21-2:09,2:10-2:30,2:31-3:56,3:57-4:13,4:14-4:30,4:31-4:41,1,16885,281,281.4,CF-H290I
94,0:00-0:15,0:16-0:35,0:36-1:39,1:40-1:53,1:54-3:30,3:31-3:37,3:38-4:38,4:39-5:18,5:19-5:54,5:55-6:02,1,21723,362,362.03,CF-H290I
